Product,Price,SupplierPrice,Supplier,Quantity
EZMix Trail Mix,1.99,1.24,SupplierA,52
ChillShake Milkshakes,2.79,1.99,SupplierA,51
SwiftSqueeze Fruit Pouches,0.99,2.11,SupplierA,100
GrabNGo Fresh Salads,3.99,0.76,SupplierA,17
QuickFix Band,ds ,3.99,SupplierB,13
SpeedySip Electrolyte Drinks,1.49,1.07,SupplierC,39
SnackShot Applesauce Cups,0.99,1.2,SupplierD,32
EZChomp Rice Cakes,1.29,0.74,SupplierB,76
ChillCup Smoothies,2.49,1.31,SupplierE,97
MunchPacks Chocolate Bars,1.49,1.1,SupplierE,39
GoTreat Yogurt Cups,1.79,1.29,SupplierB,97
ReadyRoll Sushi Rolls,4.99,0.8,SupplierE,24
EZBrew Instant Mocha,3.29,1.74,SupplierB,8
SwiftSteam Microwaveable Rice,1.99,3.14,SupplierE,79
QuickDip Hummus Cups,1.29,0.9,SupplierD,17
SnackStack Crackers Packs,1.49,3.15,SupplierB,90
MunchBox Veggie Chips,1.79,2.08,SupplierD,29
PopTop Fruit Snacks,1.19,1.48,SupplierC,36
GoNosh Gelatin Cups,1.59,0.74,SupplierC,73
TastyTreat Licorice Bites,0.99,0.95,SupplierB,3
EZMix Party Mix,2.49,1.36,SupplierD,22
ChillShake Protein Shakes,3.99,1.01,SupplierD,79
SwiftSqueeze Applesauce Pouches,1.29,1.79,SupplierE,53
GrabNGo Fresh Wraps,4.49,1.28,SupplierC,63
QuickFix Adhesive Bandages,2.49,1.01,SupplierC,91
SpeedySip Sports Drinks,1.79,1.31,SupplierD,10
SnackShot Jelly Cups,0.99,2.17,SupplierD,66
EZChomp Chewy Bars,1.29,2.42,SupplierD,97
ChillCup Slushie Mix,1.99,1.43,SupplierC,39
MunchPacks Chocolate Bars,1.49,0.9,SupplierA,98
GoTreat Fruit Yogurt,1.79,1.0,SupplierA,94
ReadyRoll Spring Rolls,2.99,2.08,SupplierB,35
EZBrew Instant Cappuccino,3.29,0.84,SupplierA,28
SwiftSteam Microwaveable Veggies,1.99,0.95,SupplierC,88
QuickDip Ranch Dip Cups,1.29,1.17,SupplierB,42
SnackStack Cheese Packs,1.49,1.34,SupplierE,8
MunchBox Dried Fruits,2.49,1.99,SupplierC,44
PopTop Fruit Gels,1.19,0.68,SupplierE,7
GoNosh Pudding Cups,1.19,2.97,SupplierD,39
TastyTreat Gummy Worms,1.59,1.07,SupplierA,6
EZMix Snack Mix,1.99,1.11,SupplierD,20
ChillShake Milkshakes,2.79,0.64,SupplierA,73
SwiftSqueeze Fruit Pouches,0.99,1.05,SupplierD,98
GrabNGo Fresh Salads,3.99,1.77,SupplierC,53
QuickFix Bandaids,2.29,1.23,SupplierC,23
SpeedySip Sports Drinks,1.49,1.65,SupplierD,99
SnackShot Jelly Cups,0.99,0.57,SupplierB,27
EZChomp Chewy Bars,1.29,0.89,SupplierC,20
ChillCup Slushie Mix,1.99,1.33,SupplierC,98
MunchPacks Chocolate Bars,1.49,1.11,SupplierE,55
GoTreat Yogurt Cups,1.79,1.13,SupplierB,72
